NGÀY,GIÁ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,GIÁ TB,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,OUTLIER_BLOCK_TRADE,LOG_RETURN,VOLATILITY_30D,MONTH
2022-07-28,52183.7089017273,-300,-0.00352113,52368.1036328288,52736.8930950319,51077.3405151182,85187.56006727535,1664800,141820250000,671100,57839260000,2335900,199659510000,0,-0.0035273405179681878,0.2889511280317952,7
2022-07-29,51323.2001565869,-1400,-0.01648999,52306.6387224616,52368.1036328288,51323.2001565869,83998.22844783192,1941800,163107760000,202000,17309083000,2143800,180416843000,0,-0.016627461460492293,0.29161875298233275,7
2022-08-01,51630.5247084227,500,0.00598802,51630.5247084227,51753.4545291571,51077.3405151182,83514.73197069034,1815100,151587590000,589000,49768372000,2404100,201355962000,0,0.005970166986502871,0.29270493474349146,8
2022-08-02,52245.1738120945,1000,0.01190476,51630.5247084227,52306.6387224616,51323.2001565869,84340.43730382508,1879700,158534720000,0,0,1879700,158534720000,0,0.011834457647004772,0.28237046322858966,8
2022-08-03,52122.2439913601,-200,-0.00235294,52245.1738120945,52368.1036328288,51753.4545291571,84592.76728161814,2249500,190291430000,194300,17010965000,2443800,207302395000,0,-0.0023557136924602607,0.23665170702541488,8
2022-08-04,52921.2878261333,1300,0.01533019,52306.6387224616,53228.6123779692,52183.7089017273,85992.82854142052,3046800,262002950000,252700,22071828800,3299500,284074778800,0,0.01521386863582763,0.2383318666567403,8
2022-08-05,52736.8930950319,-300,-0.00348432,52921.2878261333,53597.4018401722,52613.9632742974,86342.71614686144,1773100,153094270000,502000,45091760000,2275100,198186030000,0,-0.0034904049397664855,0.23857609972351934,8
2022-08-08,52859.8229157661,200,0.002331,52798.3580053991,53105.6825572348,52429.568543196,85728.45979329469,1586800,136033920000,83400,7531000000,1670200,143564920000,0,0.0023282897595885096,0.23618751322254444,8
2022-08-09,52982.7527365005,200,0.00232558,52859.8229157661,53781.7965712737,52675.4281846647,86543.14460530852,2320800,200849330000,451700,40629210000,2772500,241478540000,0,0.0023228814161408364,0.2095600624270147,8
2022-08-10,52859.8229157661,-200,-0.00232019,53044.2176468677,53290.0772883363,52859.8229157661,86141.71571250223,1121400,96599320000,67700,6160700000,1189100,102760020000,0,-0.0023228814161408624,0.20910668190490594,8
2022-08-11,52859.8229157661,0,0.0,52982.7527365005,53351.5421987035,52675.4281846647,86217.7299222798,1852800,159744210000,683000,62124800000,2535800,221869010000,0,0.0,0.16778296385032765,8
2022-08-12,53167.147467602,500,0.00581395,52675.4281846647,53167.147467602,52675.4281846647,86007.34454187113,1243100,106915730000,55400,4437540000,1298500,111353270000,0,0.005797117684327019,0.15699573871817954,8
2022-08-15,54642.305316414,2400,0.02774566,53228.6123779692,54765.2351371485,53228.6123779692,88076.81685575366,3085000,271716980000,245000,21729247000,3330000,293446227000,0,0.027367728582023732,0.17069010819026123,8
2022-08-16,54519.3754956797,-200,-0.00224972,54642.305316414,54949.6298682499,54150.5860334767,88813.66068845821,1382800,122811530000,33000,2729100000,1415800,125540630000,0,-0.0022522532043243526,0.1641990685855326,8
2022-08-17,54273.5158542111,-400,-0.00450958,54703.7702267812,54765.2351371485,54089.1211231097,88614.23449741071,1506200,133470760000,0,0,1506200,133470760000,0,-0.004519781705617957,0.1491689649494778,8
2022-08-18,54273.5158542111,0,0.0,54027.6562127425,55134.0245993514,54027.6562127425,88620.07912570018,2552900,226238200000,800000,75520000000,3352900,301758200000,0,0.0,0.14794879347129003,8
2022-08-19,53413.0071090707,-1400,-0.01585504,54089.1211231097,54396.4456749454,52982.7527365005,87400.6129955047,1957600,171095440000,144000,12625800000,2101600,183721240000,0,-0.015982075338568377,0.15629664844649505,8
2022-08-22,53351.5421987035,-100,-0.00115075,53228.6123779692,53658.8667505393,52798.3580053991,86523.08445532437,1634000,141378720000,28100,2610490000,1662100,143989210000,0,-0.0011514106050423696,0.15305607645341937,8
2022-08-23,53474.4720194379,200,0.00230415,52921.2878261333,53474.4720194379,52921.2878261333,86518.64235055725,1085700,93933290000,27600,2387400000,1113300,96320690000,0,0.002301496988280275,0.1516993144164932,8
2022-08-24,53599.1428796161,-800,-0.0091954,53785.6828200323,53972.2227604487,53536.9628994774,86468.47222222223,1008000,87160220000,59000,5428000000,1067000,92588220000,0,0.0023286953865287873,0.14627552701178184,8
2022-08-25,53661.3228597548,100,0.00116009,53599.1428796161,53910.0427803099,53474.7829193386,86222.152286039,1143900,98629520000,20900,1926980000,1164800,100556500000,0,0.0011594204197336077,0.1461892374094905,8
2022-08-26,54220.9426810037,900,0.01042874,53723.5028398936,54594.0225618364,53661.3228597548,87109.3359496024,1936600,168695940000,20000,1846000000,1956600,170541940000,0,0.010374732825551864,0.14565459399193878,8
2022-08-29,53785.6828200323,-700,-0.00802752,54096.5827207262,54096.5827207262,52666.4431775347,85883.09694793538,2228000,191347540000,313100,28954500000,2541100,220302040000,0,-0.008059916977100958,0.14696715301512156,8
2022-08-30,53723.5028398936,-100,-0.00115607,53785.6828200323,54096.5827207262,53474.7829193386,86492.49913284773,1153200,99743150000,150000,13875000000,1303200,113618150000,0,-0.0011567381278225325,0.14712583953487215,8
2022-08-31,53847.862800171,200,0.00231481,53350.4229590611,54096.5827207262,53350.4229590611,86282.69574848769,1173700,101270000000,176400,16299360000,1350100,117569360000,0,0.0023121397583771635,0.1331546272211813,8
2022-09-05,53599.1428796161,-400,-0.00461894,53785.6828200323,53910.0427803099,53412.6029391998,86219.78646292488,1020900,88021780000,90000,8334000000,1110900,96355780000,0,-0.004629637898739093,0.13416481900255922,9
2022-09-06,53350.4229590611,-400,-0.00464037,53474.7829193386,53723.5028398936,53350.4229590611,86085.85694776375,1171600,100858190000,422300,38936060000,1593900,139794250000,0,-0.004651171175729617,0.13510257022862612,9
2022-09-07,52231.1833165633,-1800,-0.02097902,53163.8830186447,53412.6029391998,52231.1833165633,84799.37846539081,2236400,189645330000,81800,7509240000,2318200,197154570000,0,-0.021202207650603277,0.14885339730499567,9
2022-09-08,52417.7232569795,300,0.00357143,52293.363296702,52852.9831179509,52106.8233562858,84293.25466713632,1135600,95723420000,164200,14455160000,1299800,110178580000,0,0.0035650661644943743,0.14776226938187456,9
2022-09-09,52417.7232569795,0,0.0,52604.2631973958,52852.9831179509,52417.7232569795,84594.10686223154,1145400,96894090000,0,0,1145400,96894090000,0,0.0,0.14714023472002924,9
2022-09-12,52604.2631973958,300,0.00355872,52915.1630980897,52977.3430782285,52417.7232569795,84745.9479921134,741003,62797001700,51000,4305200000,792003,67102201700,0,0.0035524016043677006,0.14708292850883495,9
2022-09-13,52604.2631973958,0,0.0,52852.9831179509,53039.5230583672,52417.7232569795,84828.09397158114,1062534,90132734000,231302,20932821000,1293836,111065555000,0,0.0,0.13810697947898826,9
2022-09-14,52231.1833165633,-600,-0.0070922,51920.2834158694,52542.083217257,51920.2834158694,83833.98356931667,1319726,110637887800,165701,14995928700,1485427,125633816500,0,-0.007117467768862089,0.13907309866733414,9
2022-09-15,52044.643376147,-300,-0.00357143,52542.083217257,52542.083217257,52044.643376147,83939.51434346102,787676,66117140900,179100,15967180000,966776,82084320900,0,-0.0035778213478839666,0.13516658404409695,9
2022-09-16,51298.4836144817,-1200,-0.01433692,52044.643376147,52169.0033364245,51298.4836144817,83119.47630061695,1367082,113631139900,0,0,1367082,113631139900,0,-0.0144406841547965,0.14129628406359834,9
2022-09-19,51671.5634953143,600,0.00727273,51298.4836144817,51982.4633960082,50925.4037336492,82508.9783250621,1791147,147785709000,250000,19200000000,2041147,166985709000,0,0.007246408520767253,0.13534288668908034,9
2022-09-20,51858.1034357307,300,0.00361011,51671.5634953143,52106.8233562858,51174.1236542042,82894.68340893803,579770,48059850600,1401300,124575570000,1981070,172635420600,0,0.003603607503300609,0.1356772300285044,9
2022-09-21,51174.1236542042,-1100,-0.01318945,51795.9234555919,51795.9234555919,51174.1236542042,82518.62381419231,778267,64221521800,0,0,778267,64221521800,0,-0.013277201681678326,0.14025190438817747,9
2022-09-22,51547.2035350369,600,0.0072904,50987.5837137879,51609.3835151756,50925.4037336492,82252.06762010918,1176159,96741509600,20000,1760000000,1196159,98501509600,0,0.007263954458227041,0.14201379181940363,9
2022-09-23,51236.303634343,-500,-0.00603136,51671.5634953143,51671.5634953143,51049.7636939267,82469.88359848593,843288,69545863200,349200,30707240000,1192488,100253103200,0,-0.006049625225824565,0.1427435727878369,9
